Interaction par mois ,nombre d'achat , evaluation,ID_Utilisateur
12,25,3,User_001
15,30,5,User_002
8,18,2,User_003
22,35,7,User_004
10,22,4,User_005
18,40,6,User_006
5,15,1,User_007
25,45,8,User_008
14,28,3,User_009
20,38,5,User_010
11,21,2,User_011
9,19,1,User_012
24,42,6,User_013
16,32,4,User_014
13,27,3,User_015
7,16,2,User_016
19,36,9,User_017
21,41,10,User_018
17,34,8,User_019
6,14,1,User_020
23,43,11,User_021
15,29,7,User_022
12,24,6,User_023
8,17,4,User_024
25,44,12,User_025
10,20,5,User_026
18,37,9,User_027
14,31,12,User_028
22,39,13,User_029
9,18,1,User_030
16,33,14,User_031
11,23,15,User_032
20,37,16,User_033
78,85,17,User_034
82,90,18,User_035
65,75,19,User_036
90,95,20,User_037
72,80,21,User_038
88,88,22,User_039
60,70,23,User_040
85,92,24,User_041
70,78,25,User_042
95,98,26,User_043
75,82,27,User_044
80,87,28,User_045
68,76,29,User_046
92,96,30,User_047
63,72,31,User_048
87,91,32,User_049
74,81,33,User_050
83,89,34,User_051
67,74,35,User_052
89,94,36,User_053
71,79,37,User_054
94,97,38,User_055
77,84,39,User_056
81,88,40,User_057
64,73,41,User_058
86,93,42,User_059
73,83,43,User_060
91,95,44,User_061
66,77,45,User_062
79,86,46,User_063
84,90,47,User_064
62,71,48,User_065
88,92,49,User_066
76,84,50,User_067
45,120,51,User_068
50,110,52,User_069
38,105,53,User_070
55,130,54,User_071
42,115,55,User_072
60,125,56,User_073
35,100,57,User_074
48,118,58,User_075
52,122,59,User_076
40,108,60,User_077
57,128,61,User_078
44,114,62,User_079
39,106,63,User_080
53,123,64,User_081
47,117,65,User_082
58,126,66,User_083
36,102,67,User_084
49,119,68,User_085
51,121,69,User_086
41,112,70,User_087
56,127,71,User_088
43,113,72,User_089
37,104,73,User_090
54,124,74,User_091
46,116,75,User_092
59,129,76,User_093
34,101,77,User_094
48,120,78,User_095
52,125,79,User_096
41,110,80,User_097
55,128,81,User_098
44,115,82,User_099
50,122,83,User_100
