Publications_Par_Mois,Temps_Connexion_Minutes,User_ID
26,24,User_1
24,27,User_2
47,69,User_3
62,62,User_4
17,23,User_5
69,54,User_6
43,79,User_7
66,52,User_8
39,75,User_9
35,80,User_10
38,88,User_11
66,51,User_12
43,65,User_13
33,74,User_14
25,26,User_15
38,75,User_16
19,29,User_17
51,57,User_18
43,82,User_19
45,90,User_20
49,72,User_21
41,79,User_22
69,55,User_23
28,28,User_24
39,74,User_25
32,38,User_26
25,33,User_27
59,68,User_28
63,50,User_29
37,72,User_30
36,73,User_31
36,79,User_32
34,24,User_33
43,69,User_34
20,37,User_35
43,84,User_36
33,23,User_37
65,52,User_38
28,23,User_39
65,67,User_40
71,51,User_41
44,76,User_42
26,26,User_43
63,63,User_44
42,70,User_45
44,86,User_46
29,26,User_47
61,56,User_48
31,26,User_49
73,48,User_50
64,51,User_51
29,38,User_52
31,23,User_53
51,73,User_54
36,29,User_55
67,79,User_56
31,26,User_57
48,79,User_58
64,59,User_59
39,83,User_60
30,33,User_61
76,44,User_62
69,57,User_63
47,36,User_64
27,35,User_65
58,58,User_66
59,54,User_67
33,22,User_68
19,29,User_69
36,79,User_70
71,56,User_71
35,18,User_72
25,30,User_73
45,76,User_74
40,68,User_75
30,29,User_76
16,28,User_77
59,56,User_78
38,75,User_79
70,53,User_80
36,78,User_81
42,83,User_82
32,23,User_83
44,82,User_84
69,52,User_85
34,22,User_86
36,30,User_87
53,79,User_88
74,58,User_89
34,71,User_90
19,32,User_91
42,86,User_92
32,31,User_93
47,79,User_94
39,80,User_95
26,22,User_96
22,28,User_97
44,81,User_98
24,18,User_99
31,40,User_100
61,51,User_101
44,80,User_102
62,52,User_103
47,71,User_104
37,75,User_105
43,65,User_106
44,66,User_107
43,79,User_108
76,51,User_109
20,32,User_110
68,46,User_111
37,75,User_112
37,74,User_113
42,68,User_114
42,70,User_115
65,52,User_116
23,28,User_117
53,64,User_118
18,27,User_119
57,48,User_120
67,65,User_121
65,55,User_122
50,68,User_123
32,31,User_124
31,24,User_125
28,23,User_126
33,33,User_127
38,80,User_128
35,26,User_129
26,24,User_130
48,83,User_131
30,76,User_132
43,65,User_133
32,73,User_134
33,72,User_135
66,61,User_136
62,48,User_137
27,23,User_138
42,75,User_139
26,23,User_140
39,80,User_141
41,72,User_142
41,39,User_143
42,75,User_144
54,53,User_145
59,59,User_146
68,59,User_147
44,82,User_148
71,52,User_149
38,78,User_150
37,68,User_151
41,29,User_152
65,52,User_153
20,37,User_154
44,78,User_155
56,53,User_156
63,54,User_157
26,25,User_158
33,19,User_159
37,77,User_160
26,81,User_161
24,21,User_162
38,30,User_163
36,26,User_164
42,70,User_165
34,27,User_166
61,57,User_167
42,91,User_168
45,78,User_169
47,69,User_170
49,81,User_171
36,86,User_172
58,52,User_173
39,82,User_174
58,58,User_175
64,58,User_176
69,57,User_177
40,93,User_178
76,62,User_179
67,59,User_180
29,28,User_181
39,77,User_182
25,32,User_183
73,47,User_184
67,62,User_185
14,24,User_186
65,55,User_187
51,75,User_188
44,49,User_189
61,56,User_190
28,35,User_191
39,21,User_192
58,53,User_193
19,30,User_194
59,57,User_195
55,66,User_196
63,49,User_197
76,59,User_198
36,81,User_199
30,30,User_200
46,78,User_201
41,75,User_202
58,57,User_203
60,61,User_204
47,85,User_205
65,64,User_206
23,32,User_207
25,22,User_208
64,59,User_209
44,73,User_210
43,74,User_211
23,33,User_212
72,61,User_213
56,61,User_214
29,24,User_215
38,29,User_216
33,42,User_217
32,28,User_218
35,69,User_219
27,15,User_220
34,16,User_221
51,52,User_222
24,20,User_223
21,33,User_224
42,85,User_225
59,55,User_226
26,31,User_227
39,34,User_228
62,60,User_229
42,79,User_230
47,88,User_231
34,40,User_232
40,72,User_233
22,17,User_234
64,52,User_235
68,54,User_236
25,29,User_237
63,56,User_238
39,27,User_239
28,22,User_240
31,41,User_241
65,50,User_242
70,60,User_243
46,71,User_244
38,32,User_245
54,52,User_246
68,53,User_247
63,56,User_248
30,23,User_249
67,54,User_250
31,25,User_251
63,58,User_252
25,24,User_253
77,44,User_254
77,51,User_255
31,28,User_256
58,55,User_257
34,78,User_258
20,36,User_259
44,72,User_260
41,81,User_261
48,82,User_262
29,24,User_263
33,77,User_264
68,60,User_265
59,61,User_266
30,32,User_267
64,53,User_268
68,59,User_269
41,78,User_270
51,81,User_271
64,51,User_272
61,62,User_273
67,59,User_274
29,33,User_275
35,25,User_276
27,33,User_277
35,69,User_278
53,78,User_279
37,67,User_280
59,54,User_281
66,60,User_282
72,47,User_283
55,47,User_284
31,26,User_285
64,49,User_286
33,37,User_287
69,59,User_288
63,59,User_289
31,29,User_290
44,74,User_291
61,59,User_292
70,55,User_293
41,79,User_294
27,23,User_295
35,79,User_296
58,52,User_297
32,78,User_298
29,39,User_299
34,37,User_300
